company,url,description,industry,country,total_funding_m,all_people,all_investors,your_collections,team_tag,expert_collections,esp,company_status,company_id,organization_id,founded_year,competitors,subsidiaries,parent_company,continent,state,city,street,zip_code,latest_funding_round,latest_funding_date,latest_funding_amount_m,latest_funding_simplified_round,latest_funding_investors,market_cap_m,stock_price_dollars,latest_revenue_min_m,latest_revenue_max_m,revenue_time_period,stock_price_1_week_percent_change,latest_revenue_multiple_min,latest_revenue_multiple_max,sector,sub_industry,latest_exit_round,date_of_exit,acquirer,vc_backed
Espresso,espressosys.com,"Espresso is a high-throughput, EVM-compatible blockchain allowing businesses to bring low-fees and better privacy to their Web3 applications",Internet Software & Services,United States,29.90,"Ben Fisch (CEO), Charles Lu (COO)","Alameda Research, Blockchain Capital, Coinbase Ventures, Electric Capital, Gemini, Greylock Partners, Polychain Capital, Sequoia Capital, Slow Ventures, Balaji Srinivasan, Meltem Demirors, Paxos, Robot Ventures, Terra",,,Blockchain,,Alive / Active,718506,839168,2020,,,,North America,California,San Francisco,,,Series A,2022-03-07,29.90,Series A,"Alameda Research, Blockchain Capital, Coinbase Ventures, Electric Capital, Gemini, Greylock Partners, Polychain Capital, Sequoia Capital, Slow Ventures",,,,,,,,,Internet,Data Storage,,,,Yes
Cryptyde,cryptyde.com,"Cryptyde (NASDAQ: TYDE) provides an offering of comprehensive, scalable Web3 businesses utilizing blockchain technologies, NFTs, smart contracts, metaverse, and crypto. It was founded in 2021 and is based in Safety Harbor, Florida.",Internet Software & Services,United States,42.00,"Brian Fadden (President), Brett Vroman (CFO), Sheldon Swift (Chief Product Officer)",Vinco Ventures,,,Blockchain,,IPO / Went public,712402,831719,2021,,Forever 8,,North America,Florida,Safety Harbor,200 9th Avenue North Suite 220,34695,Unattributed,2022-02-10,42.00,Undisclosed,Undisclosed Investors,REDACTED,REDACTED,,,,REDACTED,,,Internet,Asset & Financial Management & Trading,IPO,2022-06-30,"Public, Vinco Ventures",No
Yifulian,epc01.com,Yifulian (易付链) is a blockchain payment solution provider.,Internet Software & Services,China,30.00,"Brandon Clark (CEO), Long Ma (CTO)",Fenbushi Capital,,,"Blockchain, Fintech",,Alive / Active,336665,69850,2018,,,,Asia,,,,,Seed VC,2018-08-03,30.00,Seed VC,Fenbushi Capital,,,,,,,,,Internet,Payments,,,,Yes
Tassat,tassatpay.com,Tassat is a financial technology company that provides solutions to financial markets utilizing blockchain-based technologies to enable asset transfer and settlement.,Financial Services Software,United States,46.08,"Kevin Greene (CEO), Glen Sussman (COO), Glendy Kam (Chief Product Officer), Amy Crate (Chief Marketing Officer)","HashKey Capital, gumi Cryptos, Paycheck Protection Program",,,"Blockchain, Fintech",,Alive / Active,373657,441042,2017,"Circle, Figure Technologies, Fireblocks, Paxos, Transparent Financial Systems",,,North America,New York,New York,22 West 21st Street 9th Floor,10010,Series A - II,2021-06-22,5.15,Series A,Undisclosed Investors,,,,,,,,,Software (non-internet/mobile),,,,,Yes
Vegas One,vegas.one,"VegasONE is a Web 3.0 casino game distribution platform. Its eco-members include app developers, store operators, and app agencies. VegasOne aims to redesign the layout of the blockchain casino industry. The company is based in Los Angeles, California.",Internet Software & Services,United States,50.00,,"GameSparcs, XSGames",,,Blockchain,,Alive / Active,794428,922366,,,,,North America,California,Los Angeles,,,Seed,2022-07-09,50.00,Seed,"GameSparcs, Undisclosed Investors, XSGames",,,,,,,,,Internet,Gambling,,,,No
Avocado Guild,avocadoguild.com,Avocado Guild is a blockchain gaming startup.,Internet Software & Services,Australia,18.00,Brendan Wong (CEO),"Animoca Brands, Hashed, Polygon Studios, QCP Soteria, Solana Ventures, Three Arrows Capital",,,Blockchain,,Alive / Active,693442,808889,2021,,,,Australia,New South Wales,Sydney,,,Series A,2021-11-24,18.00,Series A,"Animoca Brands, Hashed, Polygon Studios, QCP Soteria, Solana Ventures, Three Arrows Capital",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Zenith Chain,zenithchain.co,"Zenith Chain operates a decentralized and secured Hybrid Blockchain built for everyone to transact directly and privately with confidence. The company was founded in 2021 and is based in Vilnius, Lithuania.",Internet Software & Services,Lithuania,35.00,"Jonathan Emmanuel (CEO), Rajesh Chinnadurai (CTO)","GEM Digital, Newchip Accelerator",,,Blockchain,,Alive / Active,740599,863220,2021,,,,Europe,,Vilnius,Vytauto g. 33,08119,Incubator/Accelerator,2022-07-25,,Incubator,Newchip Accelerator,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,No
TBCASoft,tbcasoft.com,"TBCASoft offers support, cost effective blockchain based services in partnership with global telecom carriers.",,United States,25.00,Ling Wu (CEO),"NAVER Financial, SoftBank Group, Far EasTone Telecommunications, Foxconn Technology Ventures",,,Blockchain,,Alive / Active,395717,470318,,,,,North America,California,Sunnyvale,440 N Wolfe Rd,94085,Series B,2021-08-04,25.00,Series B,"NAVER Financial, SoftBank Group",,,,,,,,,Mobile & Telecommunications,,,,,Yes
BitWell,bitwellex.com,BitWell is an international derivatives service platform that focuses on blockchain digital assets.,Internet Software & Services,China,30.00,,"Ceyuan Ventures, Chu Shuai, CollinStar Holdings, Conifers Capital, Dragonfly, Hash Global, HashKey Capital, Honglian Capital, Link Capital, NGC Ventures, SNZ Holding, Will Hunting Capital, Youbi Capital, Zhongfu Capital",,,"Blockchain, Fintech",,Alive / Active,563988,660985,,,,,Asia,Beijing,,,,Unattributed VC,2020-09-16,30.00,Venture Capital,"Ceyuan Ventures, Chu Shuai, CollinStar Holdings, Conifers Capital, Dragonfly, Hash Global, HashKey Capital, Honglian Capital, Link Capital, NGC Ventures, SNZ Holding, Undisclosed Angel Investors, Undisclosed Investors, Will Hunting Capital, Youbi Capital, Zhongfu Capital",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Axoni,axoni.com,"Axoni develops blockchain solutions with a focus on the capital markets industry. Axoni specializes in multi-party data synchronization software, offering blockchain infrastructure, distributed application development, and workflow automation tools. Clients include large financial institutions and capital markets infrastructure companies.",Internet Software & Services,United States,87.34,"Greg Schvey (CEO), Steve Finnern (COO), Jeffrey Schvey (CTO), Ishan Singh (SVP)","Andreessen Horowitz, Digital Currency Group, Euclid Opportunities, F-Prime Capital, FinTech Collective, GS Growth, J.P. Morgan Chase & Co., Thomson Reuters, Wells Fargo Strategic Capital, Citigroup, Coatue Management, Franklin Templeton, Goldman Sachs, NEX Group, Nyca Partners, Y Combinator, HSBC, Deutsche Bank, Intel Capital, UBS",,,"Blockchain, Capital Markets Tech, Robotic Process Automation, Fintech 250, Fintech, Blockchain 50",,Alive / Active,185814,19333,2013,"Capitolis, Cloud9 Technologies, CloudMargin, Dataminr, Digital Asset, Elefant, IEX, Kantox, New York Shipping Exchange, OpenRisk Technologies, Q4, SFOX, Symbiont, TradeIX, Trumid",,,North America,New York,New York,156 5th Ave,10001,Series B - III,2021-02-01,31.00,Series B,"Citigroup, Deutsche Bank, Goldman Sachs, HSBC, Intel Capital, J.P. Morgan Chase & Co., Nyca Partners, UBS, Wells Fargo Strategic Capital",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
ONO,ono.chat,ONO is a blockchain social platform.,Internet Software & Services,China,16.00,"Ke Xu (CEO), Marko Jakob (CFO), Jeff Ma (CTO), Micky Lau (CTO), Maggie Chow (Chief Marketing Officer)","China Growth Capital, Grand Shores, Green Pine Capital Partners, INBlockchain, Korea Investment Partners, ZHULU VC, AUNEW CAPITAL, Kaiyuan Investment, Purple Capital, VLANE CAPITAL",,,Blockchain,,Alive / Active,329059,1900,2017,,,,Asia,Beijing,Beijing,,,Unattributed,2018-07-11,,Undisclosed,"AUNEW CAPITAL, INBlockchain, Kaiyuan Investment, Purple Capital, VLANE CAPITAL",,,,,,,,,Internet,Social,,,,Yes
N3TWORK Studios,n3twork.com,"N3TWORK Studios is a gaming studio whose mission is to create experiences in, on, and around the blockchain. The studio focuses on how games are built, operated, marketed, and financed in the wake of Web3 technology. N3TWORK Studios is working on a diverse portfolio of multiplatform titles, including Legendary Heroes Unchained and Triumph. The company was founded in 2022 and is based in San Francisco, California.",Gaming,United States,46.00,"Bob Stevenson (Founder), Alan Yu (Founder), Erik Lammerding (Founder), Stephen Detwiler (Founder), Neil Young (CEO), Matt Ricchetti (President)","N3twork, Floodgate, Galaxy Interactive, Griffin Gaming Partners, Kleiner Perkins Caufield & Byers, Korea Investment Partners, LLL Capital",,,Blockchain,,Alive / Active,752735,876900,2022,,,,North America,California,San Francisco,,94126,Series A,2022-05-18,46.00,Series A,"Floodgate, Galaxy Interactive, Griffin Gaming Partners, Kleiner Perkins Caufield & Byers, Korea Investment Partners, LLL Capital, N3twork",,,,,,,,,Software (non-internet/mobile),,Spinoff / Spinout,2022-01-13,N3twork,Yes
Cobo Wallet,cobo.com,Cobo Wallet is a secure multi-asset blockchain wallet that enables users to store and use digital currencies and transfer to other Cobo wallets for free.,Mobile Software & Services,Singapore,63.00,"Changhao Jiang (Founder), Shixing Mao (Founder), Lily King (COO)","FreesFund, IMO Ventures, Linear Venture, DHVC, Wu Capital, A&T Capital, DST Global, BN Capital, Jianpu Technology, Plum Ventures",,,"Blockchain, Payments, Fintech",,Alive / Active,323229,135908,2017,"Alameda Research, BitGo, BlockFi, Fireblocks",Cobo Ventures,,Asia,,,,,Series B,2021-09-23,40.00,Series B,"A&T Capital, DST Global, IMO Ventures",,,,,,,,,Mobile & Telecommunications,Asset & Financial Management & Trading,,,,Yes
Honor Trends,honortrends.com,"Honor Trends provides RFID technology, products, and solutions with the use of IoT, blockchain, and big data. The company was founded in 2014 and is based in Beijing, China.",RFID Systems,China,31.33,Xin Li (CEO),"Wisdom Longwin, CAS Star, Shennan Capital, Suzhou Mingcheng Ventures, Deqing Lansheng, Puxin Lianying Capital, Tongmeng Capital, Youshan Capital, Zhongke Haichuang Fund, CDB Venture Capital, Datang Telecom",,,Blockchain,,Alive / Active,415754,503690,2014,,,,Asia,Beijing,Beijing,"3rd Floor, Zhongguancun Urban Science and Technology Frontier Technology Innovation Center, Building 5, Privy Council, No. 10 Ji",,Series B,2022-04-14,15.70,Series B,Zhongke Haichuang Fund,,,,,,,,,Mobile & Telecommunications,,,,,Yes
Tioga Capital,tioga.capital,"Tioga Capital is a Belgium-based blockchain fund that provides investors with exposure to the growing European blockchain ecosystem, with a focus on early-stage opportunities in the infrastructure layer.",,Belgium,17.00,"Nicolas Priem (Chief Investment Officer), Michiel Lescrauwaet (Managing Director), Patrick Van de Mosselaer (Managing Director)",Societe Regionale d'Investissement de Wallonie,,,Blockchain,,Alive / Active,595841,695933,2019,,,,Europe,,Brussels,,,Seed,2020-12-16,17.00,Seed,"Societe Regionale d'Investissement de Wallonie, Undisclosed Investors",,,,,,,,,Finance,,,,,No
Weway,vibeac.com,Weway provides blockchain application in digital identification for governmental sectors and corporations.,Internet Software & Services,China,20.17,"Ziyang Li (CEO), Zhentao Qiu (COO), Yingfeng Liang (CTO), Juncheng Chen (Chief Marketing Officer), Bo Liu (Chief Marketing Officer)","Shanghai Houqian, Shenzhen Capital Group, Guangdong Technology Financial Group, Focus Capital, Nanjing Chuangyi",,,Blockchain,,Alive / Active,392986,466696,2014,,,,Asia,Guangdong,Shenzhen,"Xunmei Technology Building 2 #802 5 Kehua Rd, Technology Park, Nanshan District",,Series B,2020-07-28,14.28,Series B,"Focus Capital, Nanjing Chuangyi",,,,,,,,,Internet,Legal,,,,Yes
Livepeer,livepeer.org,Livepeer offers a marketplace between encoding providers (the supply side) and app developers who need video streaming services (the demand side).  It aims to provide open video infrastructure to that offers a decentralized video streaming network.  Its network is built on the Ethereum blockchain.,Internet Software & Services,United States,48.00,"Eric Tang (Founder), Doug Petkanics (CEO)","Ben Rubin, Collab+Currency, Compound, Digital Currency Group, Libertus Capital, North Island Credit Union, Northzone, Notation Capital, StakeZero, 0 Ventures, 6th Man Ventures, Animal Ventures, CoinFund, Coinbase Ventures, Alan Howard, Tiger Global Management, Warburg Serres Investments",,,Blockchain,,Alive / Active,394088,468114,2017,"Dlive.tv, Flixxo, LBRY, Theta Labs, Verasity",MistServer,,North America,New York,New York,85 Broad Street,10004,Series B - II,2022-01-05,20.00,Series B,"Alan Howard, Digital Currency Group, Northzone, Tiger Global Management, Warburg Serres Investments",,,,,,,,,Internet,Video,,,,Yes
Streami,streami.co,"Streami provides blockchain-based services. The company operates GOPAX, a technology-focused cryptocurrency exchange; Cryptopic, a service that provides information for cryptocurrency investments; and StreamWire, a blockchain remittance solution. Streami was founded in 2015 and is based in Seoul, South Korea.",E-Commerce,South Korea,40.76,"JunHaeng Lee (CEO), James Park (CFO)","Bluepoint Partners, ICB, Shinhan Capital, Digital Currency Group, Fenbushi Capital, Ryukyung PSG Asset Management, Strong Ventures, KB Investment, Z Venture Capital",,,"Blockchain, Payments, Fintech",,Alive / Active,245884,40740,2015,,,,Asia,,Seoul,"18th Floor, 42, Olympic-ro 35da-gil, Songpa-gu",05510,Series B,2022-05-20,23.66,Series B,"Digital Currency Group, KB Investment, Strong Ventures, Z Venture Capital",,,,,,,,,Internet,Marketplace,,,,Yes
Ankr,ankr.network,"Ankr is a blockchain project focused on building a public chain for cloud computing. It operates a decentralized Web 3 Infrastructure that helps blockchain companies run their blockchains faster. Ankr was founded in 2017 and is based in San Francisco, California.",IT Services,United States,15.00,"Chandler Song (Founder), Ryan Fang (COO), Stanley Wu (CTO), Gregory Gopman (Chief Marketing Officer)","BlockVC Fund, Danhua Capital, J Lab, Link Capital, NGC Ventures, OK Blockchain Capital, Pantera Capital, Spark Digital Capital, MasterCard Start Path, Binance Labs",,,Blockchain,,Alive / Active,331161,7222,2017,,,,North America,California,San Francisco,609 Mission St,94105,Unattributed VC,2022-08-11,,Venture Capital,Binance Labs,,,,,,,,,Computer Hardware & Services,Infrastructure & Hosting,,,,Yes
Waykichain,olz.com,WaykiChain is committed to building a third-generation blockchain (Blockchain 3.0) underlying system based on Bitcoin and Ethereum with new technological features.,Internet Software & Services,China,15.00,,AEX.plus,,,Blockchain,,Alive / Active,621681,725463,,,,,Asia,Guangdong,Shenzhen,,,Corporate Minority,2021-01-25,15.00,Corporate Minority,AEX.plus,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,No
Altr Solutions,altr.com,"ALTR provides a data-security platform that unleashes the cybersecurity benefits of blockchain. Built on ALTRchain, a high-performance, enterprise-grade blockchain technology for ultra-secure data access and storage, the ALTR platform allows organizations to monitor, access and store critical information.",Internet Software & Services,United States,30.00,"David Sikora (CEO), James Beecham (CTO)",John Stafford III,,,"Blockchain, Cybersecurity",Blockchain-Enabled Data Security (Emerging Tech),Alive / Active,328566,184930,2014,"Filebase, Hyperchain, IntegriTEE, Oasis Labs, Satori Cyber, SIMBA Chain, SpiderOak, Spring Labs, StrongSalt, Topia Technology",,,North America,Texas,Austin,"108 Wild Basin Road S Building 2, Suite 150",78716,Seed - II,2020-05-13,15.00,Seed,"John Stafford III, Undisclosed Investors",,,,,,,,,Internet,Application & Data Integration,,,,No
Bubi Tech,bubi.cn,Bubi Tech focuses on the development of blockchain-related products that can secure core patent technologies. The company developed a scalable and controllable blockchain service platform that is able to rapidly build upper-layer applications for large-scale users.,Internet Software & Services,China,20.23,"Hai Jiang (CEO), Jun Li (COO)","Microsoft ScaleUp, DianLiang Capitals, Yizhuang Internet Fund, China Merchants Venture, Fenbushi Capital, Milestone Venture Capital, QF Capital, Sinovation Ventures, Bojiang Capital, Buchang Pharmaceuticals, Grand Yangtze Capital, Vangoo Capital Partners, Xinlian Ventures",,,Blockchain,,Alive / Active,315347,223500,2015,,,,Asia,Beijing,Beijing,"Room 1106, Block A, Phoenix Land, Building 16, No. 5 A, Shuguang Xili, Chaoyang District",,Series B,2021-09-29,,Series B,Undisclosed Investors,,,,,,,,,Internet,Accounting & Finance,,,,Yes
ZhongAn Microloan,xd.zhongan.io,"ZhongAn Microloan, a subsidiary of ZhongAn International, provides microloan services with blockchain and big data technologies.",Internet Software & Services,China,30.52,,Bestpay,,,"Blockchain, Fintech",,Alive / Active,399078,474885,,,,ZhongAn Technology,Asia,Chongqing,Chongqing,,,Unattributed,2019-07-18,30.52,Undisclosed,Bestpay,,,,,,,,,Internet,Accounting & Finance,,,,No
Algorand,algorand.com,"Algorand is building a scalable, secure, and decentralized digital currency and transactions platform. Its open-source protocol is positioned to address the blockchain's scaling challenges through rapid and efficient user consensus, enabling even the smallest transactions, regardless of transaction volume or number of users.",Internet Software & Services,United States,69.00,"Silvio Micali (Founder), Steve Kokinos (CEO), W. Sean Ford (COO), Yossi Gilad (CTO), Paul Riegle (Chief Product Officer), David Garcia (Investment Partner)","Pillar, Union Square Ventures, Eterna Capital, NGC Ventures, Polybius Capital, Borderless Capital, Coinbase Ventures, Jump Crypto, OKX Blockdream Ventures, ParaFi Capital",,,"Blockchain, Fintech",,Alive / Active,316718,69023,2017,"Dragonchain, Stellar",,,North America,Massachusetts,Boston,399 Boylston Street Suite 800,02116,Series B,2022-01-23,3.00,Series B,"Borderless Capital, Coinbase Ventures, Jump Crypto, OKX Blockdream Ventures, ParaFi Capital, Undisclosed Investors",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Upshot,upshot.xyz,"Upshot is a blockchain-based protocol providing industry-leading non-fungible token (NFT) appraisals. The company was founded in 2019 and is based in New York, New York.",Internet Software & Services,United States,30.51,"Nick Emmons (CEO), Ethan Bennett (CTO), Christopher Kingsley (Chief Marketing Officer)","Blockchain Capital, CMS Holdings, CoinFund, Delphi Digital, Framework Ventures, Kain Warwick, Mechanism Capital, Ryan Selkis, Slow Ventures, Stani Kulechov, Polychain Capital",,,Blockchain,,Alive / Active,438124,524853,2019,,,,North America,New York,New York,"175 Varick Street Ground Floor, Offices 602-603",10014,Series A - II,2022-03-23,22.00,Series A,"Blockchain Capital, CoinFund, Delphi Digital, Framework Ventures, Mechanism Capital, Polychain Capital, Slow Ventures",,,,,,,,,Internet,Application & Data Integration,,,,Yes
Anoma,anoma.network,"Anoma is a sovereign, proof-of-stake blockchain protocol that enables private, asset-agnostic cash and private bartering among any number of parties.",Internet Software & Services,Switzerland,26.00,Adrian Brink (Founder),"Electric Capital, Maven 11 Capital, Polychain Capital",,,Blockchain,,Alive / Active,692374,807437,,,,,Europe,,,,,Series A,2021-11-17,26.00,Series A,"Electric Capital, Maven 11 Capital, Polychain Capital",,,,,,,,,Internet,Accounting & Finance,,,,Yes
Lightning Labs,lightning.engineering,"Lightning Labs is developing an open protocol layer that leverages the power of blockchains and smart contracts to make cheap, fast, private transactions available to anyone around the world. It was founded in 2016 and is based in Palo Alto, California.",Internet Software & Services,United States,82.50,"Olaoluwa Osuntokun (Founder), Elizabeth Stark (Founder)","Ben Davenport, Bill Lee, Charlie Lee, David Sacks, Digital Currency Group, Jack Dorsey, Jacqueline Reses, Kevin Hartz, The Hive, Vlad Tenev, Avichal Garg, Craft Ventures, David Heller, Howard Morgan, John Pfeffer, M13, Race Capital, Ribbit Capital, Ross Stevens, Slow Ventures, Stillmark, Alan Lane, Baillie Gifford & Co., Brevan Howard, Goldcrest Capital, Kingsway Capital Partners, Moore Strategic Ventures, NYDIG, Valor Equity Partners",,,"Blockchain, Payments, Fintech",,Alive / Active,319372,184530,2016,,,,North America,California,Palo Alto,720 University Ave Suite 200,94301,Series B,2022-04-05,70.00,Series B,"Alan Lane, Baillie Gifford & Co., Brevan Howard, Goldcrest Capital, Kingsway Capital Partners, Moore Strategic Ventures, NYDIG, Valor Equity Partners, Vlad Tenev",,,,,,,,,Internet,Payments,,,,Yes
NodeReal,nodereal.io,NodeReal is a blockchain and web3 technology company. NodeReal is a one-stop infrastructure and solution provider that embrace the high-speed blockchain era. NodeReal was founded in 2021 and is based in Singapore.,Internet Software & Services,Singapore,16.00,Henry Liu (CEO),Sky9 Capital,,,Blockchain,,Alive / Active,752626,876764,2021,,,,Asia,,,,,Series A,2022-05-18,16.00,Series A,Sky9 Capital,,,,,,,,,Internet,Science & Engineering,,,,Yes
Argent,argent.xyz,"Argent built a mobile wallet for Ethereum-based cryptocurrencies. Argent's mobile app for Android and iOS allows users to access their cryptocurrency assets, as well as blockchain applications. The company was founded in 2017 and is based in London, England.",Mobile Software & Services,United Kingdom,56.00,"Julien Niset (Founder), Itamar Lesuisse (CEO), Gerald Goldstein (CTO)","Creandum, Firstminute Capital, Hummingbird Ventures, Index Ventures, KR1, Mattias Ljungman, Paradigm, Animoca Brands, Fabric Ventures, Jump Capital, Metaplanet, StarkWare",,,"Blockchain, Fintech",,Alive / Active,360112,422996,2017,"Coinbase, ConsenSys, Gnosis, MetaMask, Rainbow, Zumo",,,Europe,England,London,5 New Street Square,EC4A 3TW,Series B,2022-04-28,40.00,Series B,"Animoca Brands, Creandum, Fabric Ventures, Index Ventures, Jump Capital, Metaplanet, Paradigm, StarkWare",,,,,,,,,Mobile & Telecommunications,Asset & Financial Management & Trading,,,,Yes
Blockcap,blockcap.com,"Blockcap is a Blockchain Company whose focus is on Bitcoin mining and investing. In addition to mining operations, Blockcap operates two other divisions -- digital treasury assets and venture investments. Blockcap's mining fleet currently utilizes Core Scientific's co-location mining facilities based in the United States.",Internet Software & Services,United States,75.00,"Darin Feinstein (Founder), Clark Swanson (CEO), Peter Dorrius (CFO), Brett Harrison (COO)","Foundry, Off The Chain Capital",,,"Blockchain, Fintech",,Alive / Active,622853,726932,2020,,,,North America,Nevada,Las Vegas,3753 Howard Hughes Pkwy #200,89169,Seed - II,2021-03-31,38.00,Seed,"Foundry, Off The Chain Capital, Undisclosed Investors",,,,,,,,,Internet,Accounting & Finance,,,,No
NYDIG,nydig.com,"NYDIG offers a full suite of institutional-grade digital asset prime brokerage, execution, and custody services.",Internet Software & Services,United States,1355.00,"Ross Stevens (Founder), Robert Gutmann (Founder), Yan Zhao (President), Daniel Honig (President), Samuel Donat (COO), Marc Feuerstein (COO), Brian Langel (CTO), Kelly Brewster (Chief Marketing Officer), Reuben Grinberg (Chief Compliance Officer)","Bessemer Venture Partners, FinTech Collective, Ribbit Capital, Starr Investment Holdings, MassMutual, FS Investments, Morgan Stanley, New York Life Investments, Soros Fund Management, Stone Ridge Asset Management, Liberty Mutual Group, Starr Companies, First Foundation Bank, Affirm, FIS, Fiserv, New York Life Insurance Company, WestCap Group",,,"Blockchain, Fintech, Blockchain 50","Crypto-as-a-Service (Financial Services), Digital Asset Custody (Emerging Tech)",Alive / Active,574229,457812,2017,"Anchorage Digital, Galoy, Grayscale Investments, Unifimoney, Valkyrie, VaultLink","Digital Assets Data, bottlepay, Arctos Capital",,North America,New York,New York,510 Madison Avenue 21st Floor,10022,Growth Equity - IV,2021-12-14,1000.00,Growth Equity,"Affirm, Bessemer Venture Partners, FIS, FinTech Collective, Fiserv, MassMutual, Morgan Stanley, New York Life Insurance Company, WestCap Group",,,,,,,,,Internet,Asset & Financial Management & Trading,Spinoff / Spinout,2017-01-01,,Yes
CAM Chain,camchain.org,Cam Chain (中企矩阵CAM公链) is committed to building a blockchain solution for the deep integration of the commercial ecological environment between Chinese and Chinese enterprises.,"Business Intelligence, Analytics & Performance Mgmt Software",China,30.00,"Yixin Guo (CEO), Xiaohui Huang (CFO), Haixiang Lian (COO), Zhizhong Lu (CTO)","China-Europe Belt and Road Industry Fund, Quanshang Capital",,,Blockchain,,Alive / Active,325266,91359,,,,,Asia,,,,,Series A,2018-05-07,30.00,Series A,"China-Europe Belt and Road Industry Fund, Quanshang Capital",,,,,,,,,Software (non-internet/mobile),,,,,Yes
BKBT,beekan.org,"BKBT (币快报), aka BeeNews, is a value discovery platform for blockchain and digital currencies based on meta-graph chain (BKBT-Token), providing users with smart feeds, knowledge graphs, CV-Rank index (coin volatility rank), and growth track index of digital currency; assisting users in seeking value investments and avoiding investment blind points; and popularizing blockchain knowledge to drive the healthy development of the blockchain ecosystem.",Internet Software & Services,China,20.00,Liang Zeng (President),JRR Crypto,,,Blockchain,,Alive / Active,329370,7177,2017,,,,Asia,Shanghai,Shanghai,,,Series A,2018-06-11,20.00,Series A,JRR Crypto,,,,,,,,,Internet,News & Discussion,,,,No
GuardianLink,guardianlink.io,Guardian Link enables blockchain commerce through its Omni Blockchain legitimacy protocol. This allows NFTs to be traded in high frequency trading across multiple blockchain infrastructures.,E-Commerce,India,12.00,"Ramkumar Subramaniam (Founder), Arjun Reddy (Founder), Keyur Patel (Founder), Harish Iyer (CFO)",Kalaari Capital,,,Blockchain,,Alive / Active,691779,806656,2016,"Rario, WazirX",,,Asia,,Chennai,,,Series A,2021-11-16,12.00,Series A,Kalaari Capital,,,,,,,,,Internet,Marketplace,,,,Yes
Waves Platform,wavesplatform.com,"Waves Platform is a public blockchain platform.  It offers easy-to-use, highly functional tools to create decentralized applications. It's an enterprise-ready platform that emphasizes security, easy digital asset operations (including creation, transfer, exchange) and straightforward user experience. Waves Platform is developing Vostok, a universal technological solution for digital infrastructure. It is comprised of two constituent elements: The Vostok digital platform and a facilitator of its maintenance, development and optimization (the Vostok system integrator).",Internet Software & Services,Switzerland,120.00,"Sasha Ivanov (Founder), Alexander Borisov (CTO), Artem Kalikhov (Chief Product Officer), Philipp Eryushev (Chief Marketing Officer)",Dolfin Capital,,,"Blockchain, Fintech",,Alive / Active,364590,429084,2016,,,,Europe,,Zug,Bahnhofstrasse 29,6300,Series A,2018-12-19,120.00,Series A,Dolfin Capital,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,No
Core Scientific,corescientific.com,"Core Scientific is a cryptocurrency mining infrastructure provider in North America and specializes in customizable infrastructure and software solutions for AI and blockchain. Using modern facilities, proprietary technology, and blockchain hosting solutions, Core Scientific powers servers for large-scale operations and the most complex deep learning AI challenges.",IT Services,United States,54.00,"Darin Feinstein (Founder), Michael Levitt (Founder), Michael Trzupek (CFO), Denise Sterling (CFO), Ian Ferreira (Chief Product Officer), Jeff Taylor (SVP), Taras Kulyk (SVP), Aaron McCreery (SVP), Jeff Pratt (SVP), Larry Kom (SVP), Fabien Mousseau (SVP)","Power & Digital Infrastructure Acquisition, Celsius Network",,,"Blockchain, Fintech, Medical Devices",,Alive / Active,605126,489315,2017,,"Stax Digital, Honeyminer, Atrio",,North America,Washington,Bellevue,2800 Northup Way #220,98004,Corporate Minority,2021-08-05,54.00,Corporate Minority,Celsius Network,,,,,,,,,Computer Hardware & Services,Infrastructure & Hosting,Acq - Pending,2021-07-21,Power & Digital Infrastructure Acquisition,No
Superblocks,superblocks.com,"Superblocks is a blockchain company develops a platform that provides developers with open source, accessible tools for collaborating, sharing, and building upon each other's creations. The company was formerly known as Blockie. Superblocks was founded in 2021 and is based in New York, New York.",Internet Software & Services,United States,38.00,"Thomas Backlund (Founder), Brad Menezes (CEO), Ran Ma (CTO)","Cryptowell, Aaron Levie, Akshay Kothari, Andrew Ofstad, Aneel Bhusri, Apoorva Mehta, Avlok Kohli, Frederic Kerrest, Greenoaks Capital Management, Howie Liu, James Tamplin, Javier Molina, Jeff Lawson, Jeremy Stoppeman, Kleiner Perkins Caufield & Byers, Max Mullen, Meritech Capital Partners, Neha Narkhede, Sam Blond, Spark Capital, Taylor Brown, Tom Gonser",,,Blockchain,,Alive / Active,326057,135832,2021,"Appsmith, Coherent, INTERNAL, Plasmic, Retool",,,North America,New York,New York,1140 Broadway #701,10001,Series A,2022-08-11,37.00,Series A,"Aaron Levie, Akshay Kothari, Andrew Ofstad, Aneel Bhusri, Apoorva Mehta, Avlok Kohli, Frederic Kerrest, Greenoaks Capital Management, Howie Liu, James Tamplin, Javier Molina, Jeff Lawson, Jeremy Stoppeman, Kleiner Perkins Caufield & Byers, Max Mullen, Meritech Capital Partners, Neha Narkhede, Sam Blond, Spark Capital, Taylor Brown, Tom Gonser, Undisclosed Angel Investors",,,,,,,,,Internet,Application & Data Integration,,,,Yes
